id,title,description,availability,condition,price,link,image_link,brand,product_type
copo-termico-473ml,Copo térmico 473ml,Copo térmico 473ml com a sua logo. Várias cores disponíveis.,in stock,new,,https://khaus-site.vercel.app/p/copo-termico-473ml,https://khaus-site.vercel.app/img/copo-termico-473ml.webp,Khaus Brindes,Copos e garrafas térmicas
copo-chopp-710ml,Copo chopp térmico 710ml,Copo chopp térmico 710ml com a sua logo. Caneca térmica com alça.,in stock,new,,https://khaus-site.vercel.app/p/copo-chopp-710ml,https://khaus-site.vercel.app/img/copo-chopp-710ml.webp,Khaus Brindes,Copos e garrafas térmicas
copo-cuia-330ml,Copo cuia 330ml,Copo cuia 330ml com a sua logo. Copo térmico com tampa.,in stock,new,,https://khaus-site.vercel.app/p/copo-cuia-330ml,https://khaus-site.vercel.app/img/copo-cuia-330ml.webp,Khaus Brindes,Copos e garrafas térmicas
copo-porta-long-420ml,Copo porta long 420ml,"Copo porta long 420ml com a sua logo. Térmico, também serve de porta long neck.",in stock,new,,https://khaus-site.vercel.app/p/copo-porta-long-420ml,https://khaus-site.vercel.app/img/copo-porta-long-420ml.webp,Khaus Brindes,Copos e garrafas térmicas
garrafa-500ml,Garrafa 500ml,Garrafa 500ml com a sua logo. Garrafa térmica com indicador de temperatura.,in stock,new,,https://khaus-site.vercel.app/p/garrafa-500ml,https://khaus-site.vercel.app/img/garrafa-500ml.webp,Khaus Brindes,Copos e garrafas térmicas
garrafa-termica-650ml,Garrafa térmica 650ml,Garrafa térmica 650ml com a sua logo. Com alça na tampa.,in stock,new,,https://khaus-site.vercel.app/p/garrafa-termica-650ml,https://khaus-site.vercel.app/img/garrafa-termica-650ml.webp,Khaus Brindes,Copos e garrafas térmicas
garrafa-termica-canudo,Garrafa térmica com canudo,Garrafa térmica com canudo com a sua logo. Com alça e canudo.,in stock,new,,https://khaus-site.vercel.app/p/garrafa-termica-canudo,https://khaus-site.vercel.app/img/garrafa-termica-canudo.webp,Khaus Brindes,Copos e garrafas térmicas
garrafa-termica-bico-flip,Garrafa térmica com bico flip,Garrafa térmica com bico flip com a sua logo. Tampa com bico retrátil.,in stock,new,,https://khaus-site.vercel.app/p/garrafa-termica-bico-flip,https://khaus-site.vercel.app/img/garrafa-termica-bico-flip.webp,Khaus Brindes,Copos e garrafas térmicas
garrafa-termica-inox,Garrafa térmica inox,Garrafa térmica inox com a sua logo. Aço inox.,in stock,new,,https://khaus-site.vercel.app/p/garrafa-termica-inox,https://khaus-site.vercel.app/img/garrafa-termica-inox.webp,Khaus Brindes,Copos e garrafas térmicas
bone-poliester,Boné 100% poliéster,Boné 100% poliéster com a sua logo. Modelo trucker com tela.,in stock,new,,https://khaus-site.vercel.app/p/bone-poliester,https://khaus-site.vercel.app/img/bone-poliester.webp,Khaus Brindes,Bonés e camisetas
bone-camurca,Boné camurça,Boné camurça com a sua logo. Acabamento em camurça.,in stock,new,,https://khaus-site.vercel.app/p/bone-camurca,https://khaus-site.vercel.app/img/bone-camurca.webp,Khaus Brindes,Bonés e camisetas
camiseta-poliester,Camiseta 100% poliéster,Camiseta 100% poliéster com a sua logo. Personalização na frente e nas costas.,in stock,new,,https://khaus-site.vercel.app/p/camiseta-poliester,https://khaus-site.vercel.app/img/camiseta-poliester.webp,Khaus Brindes,Bonés e camisetas
camiseta-malha-pv,Camiseta malha PV,Camiseta malha PV com a sua logo. Personalização na frente e nas costas.,in stock,new,,https://khaus-site.vercel.app/p/camiseta-malha-pv,https://khaus-site.vercel.app/img/camiseta-malha-pv.webp,Khaus Brindes,Bonés e camisetas
moletom-canguru,Moletom canguru,Moletom canguru com a sua logo. Com capuz e bolso canguru.,in stock,new,,https://khaus-site.vercel.app/p/moletom-canguru,https://khaus-site.vercel.app/img/moletom-canguru.webp,Khaus Brindes,Manga longa e moletons
moletom-careca,Moletom careca,Moletom careca com a sua logo. Gola redonda.,in stock,new,,https://khaus-site.vercel.app/p/moletom-careca,https://khaus-site.vercel.app/img/moletom-careca.webp,Khaus Brindes,Manga longa e moletons
manga-longa-poliester,Camiseta manga longa 100% poliéster,Camiseta manga longa 100% poliéster com a sua logo. Manga longa.,in stock,new,,https://khaus-site.vercel.app/p/manga-longa-poliester,https://khaus-site.vercel.app/img/manga-longa-poliester.webp,Khaus Brindes,Manga longa e moletons
manga-longa-malha-pv,Camiseta manga longa malha PV,Camiseta manga longa malha PV com a sua logo. Manga longa.,in stock,new,,https://khaus-site.vercel.app/p/manga-longa-malha-pv,https://khaus-site.vercel.app/img/manga-longa-malha-pv.webp,Khaus Brindes,Manga longa e moletons
mochila-poliester-15l,Mochila poliéster 15L,Mochila poliéster 15L com a sua logo. Capacidade de 15 litros.,in stock,new,,https://khaus-site.vercel.app/p/mochila-poliester-15l,https://khaus-site.vercel.app/img/mochila-poliester-15l.webp,Khaus Brindes,Mochilas e acessórios
mochila-nylon-14l,Mochila nylon 14L,Mochila nylon 14L com a sua logo. Capacidade de 14 litros.,in stock,new,,https://khaus-site.vercel.app/p/mochila-nylon-14l,https://khaus-site.vercel.app/img/mochila-nylon-14l.webp,Khaus Brindes,Mochilas e acessórios
mochila-nylon-20l,Mochila nylon 20L,Mochila nylon 20L com a sua logo. Capacidade de 20 litros.,in stock,new,,https://khaus-site.vercel.app/p/mochila-nylon-20l,https://khaus-site.vercel.app/img/mochila-nylon-20l.webp,Khaus Brindes,Mochilas e acessórios
mochila-nylon-28l,Mochila nylon 28L,Mochila nylon 28L com a sua logo. Capacidade de 28 litros.,in stock,new,,https://khaus-site.vercel.app/p/mochila-nylon-28l,https://khaus-site.vercel.app/img/mochila-nylon-28l.webp,Khaus Brindes,Mochilas e acessórios
sacochila-poliester,Sacochila poliéster,Sacochila poliéster com a sua logo. Mochila saco com cordão.,in stock,new,,https://khaus-site.vercel.app/p/sacochila-poliester,https://khaus-site.vercel.app/img/sacochila-poliester.webp,Khaus Brindes,Mochilas e acessórios
necessaire,Necessaire,Necessaire com a sua logo. Várias cores disponíveis.,in stock,new,,https://khaus-site.vercel.app/p/necessaire,https://khaus-site.vercel.app/img/necessaire.webp,Khaus Brindes,Mochilas e acessórios
guarda-chuva,Guarda-chuva,Guarda-chuva com a sua logo. Cabo de madeira.,in stock,new,,https://khaus-site.vercel.app/p/guarda-chuva,https://khaus-site.vercel.app/img/guarda-chuva.webp,Khaus Brindes,Mochilas e acessórios
leque-plastico,Leque de plástico,Leque de plástico com a sua logo. Leque dobrável.,in stock,new,,https://khaus-site.vercel.app/p/leque-plastico,https://khaus-site.vercel.app/img/leque-plastico.webp,Khaus Brindes,Mochilas e acessórios
mouse-pad-ergonomico,Mouse pad ergonômico,Mouse pad ergonômico com a sua logo. Com apoio de punho.,in stock,new,,https://khaus-site.vercel.app/p/mouse-pad-ergonomico,https://khaus-site.vercel.app/img/mouse-pad-ergonomico.webp,Khaus Brindes,Mochilas e acessórios
fone-bluetooth,Fone de ouvido bluetooth touch,Fone de ouvido bluetooth touch com a sua logo. Com case carregador.,in stock,new,,https://khaus-site.vercel.app/p/fone-bluetooth,https://khaus-site.vercel.app/img/fone-bluetooth.webp,Khaus Brindes,Mochilas e acessórios
kit-vinho-5-pecas,Kit vinho 5 peças,Kit vinho 5 peças com a sua logo. Estojo em formato de garrafa.,in stock,new,,https://khaus-site.vercel.app/p/kit-vinho-5-pecas,https://khaus-site.vercel.app/img/kit-vinho-5-pecas.webp,Khaus Brindes,Bebidas e churrasco
kit-vinho-3-pecas,Kit vinho 3 peças,Kit vinho 3 peças com a sua logo. Estojo em formato de garrafa.,in stock,new,,https://khaus-site.vercel.app/p/kit-vinho-3-pecas,https://khaus-site.vercel.app/img/kit-vinho-3-pecas.webp,Khaus Brindes,Bebidas e churrasco
porta-litrao,Porta litrão,Porta litrão com a sua logo. Mantém a garrafa de 1 litro gelada.,in stock,new,,https://khaus-site.vercel.app/p/porta-litrao,https://khaus-site.vercel.app/img/porta-litrao.webp,Khaus Brindes,Bebidas e churrasco
porta-garrafa-600ml,Porta garrafa 600ml,Porta garrafa 600ml com a sua logo. Mantém a garrafa de 600ml gelada.,in stock,new,,https://khaus-site.vercel.app/p/porta-garrafa-600ml,https://khaus-site.vercel.app/img/porta-garrafa-600ml.webp,Khaus Brindes,Bebidas e churrasco
abridores-madeira,Abridor de madeira,Abridor de madeira com a sua logo. Cabo de madeira.,in stock,new,,https://khaus-site.vercel.app/p/abridores-madeira,https://khaus-site.vercel.app/img/abridores-madeira.webp,Khaus Brindes,Bebidas e churrasco
abridor-multifuncoes,Abridor multifunções 3 em 1,"Abridor multifunções 3 em 1 com a sua logo. Saca-rolhas, abridor e canivete.",in stock,new,,https://khaus-site.vercel.app/p/abridor-multifuncoes,https://khaus-site.vercel.app/img/abridor-multifuncoes.webp,Khaus Brindes,Bebidas e churrasco
chaveiro-abridor,Chaveiro abridor,Chaveiro abridor com a sua logo. Várias cores disponíveis.,in stock,new,,https://khaus-site.vercel.app/p/chaveiro-abridor,https://khaus-site.vercel.app/img/chaveiro-abridor.webp,Khaus Brindes,Bebidas e churrasco
